Epoch:1	Step:100	Train loss:0.7428253293037415	Train_acc:0.7630206346511841	Train_roc_auc:0.8371103405952454
Epoch:1	Step:200	Train loss:0.5189892053604126	Train_acc:0.8794803023338318	Train_roc_auc:0.9533947706222534
Epoch:1	Step:300	Train loss:0.3850115239620209	Train_acc:0.9190240502357483	Train_roc_auc:0.9783137440681458
Epoch:1	Step:400	Train loss:0.302800714969635	Train_acc:0.9391677379608154	Train_roc_auc:0.9875209331512451
Epoch:1	Step:500	Train loss:0.24752944707870483	Train_acc:0.9513047337532043	Train_roc_auc:0.9918953776359558
Epoch:1	Step:600	Train loss:0.2091328650712967	Train_acc:0.9594057202339172	Train_roc_auc:0.994303822517395
Epoch:1	Step:700	Train loss:0.1809864640235901	Train_acc:0.9651969075202942	Train_roc_auc:0.995773434638977
Epoch:1	Step:800	Train loss:0.1594938188791275	Train_acc:0.9695420861244202	Train_roc_auc:0.9967392683029175
Epoch:1	Step:900	Train loss:0.14263929426670074	Train_acc:0.9729227423667908	Train_roc_auc:0.9974079132080078
Epoch:1	Step:1000	Train loss:0.12905319035053253	Train_acc:0.9756269454956055	Train_roc_auc:0.9978877902030945
Epoch:1	Step:1100	Train loss:0.11795840412378311	Train_acc:0.9778401255607605	Train_roc_auc:0.99824458360672

Epoch:1	Test loss:0.07568192481994629	Test_acc:0.9798693060874939	Test_roc_auc:0.9945539832115173

Epoch:2	Step:100	Train loss:0.005215115379542112	Train_acc:0.9999499320983887	Train_roc_auc:0.9999916553497314
Epoch:2	Step:200	Train loss:0.004335101693868637	Train_acc:0.9999679327011108	Train_roc_auc:0.9999947547912598
Epoch:2	Step:300	Train loss:0.003926566336303949	Train_acc:0.9999739527702332	Train_roc_auc:0.9999951124191284
Epoch:2	Step:400	Train loss:0.0036723644006997347	Train_acc:0.9999781847000122	Train_roc_auc:0.9999953508377075
Epoch:2	Step:500	Train loss:0.003476032055914402	Train_acc:0.9999811053276062	Train_roc_auc:0.9999961256980896
Epoch:2	Step:600	Train loss:0.0033150759991258383	Train_acc:0.9999833106994629	Train_roc_auc:0.9999962449073792
Epoch:2	Step:700	Train loss:0.0031901237089186907	Train_acc:0.9999848008155823	Train_roc_auc:0.9999966621398926
Epoch:2	Step:800	Train loss:0.003072314662858844	Train_acc:0.9999861717224121	Train_roc_auc:0.999997079372406
Epoch:2	Step:900	Train loss:0.002980349352583289	Train_acc:0.9999872446060181	Train_roc_auc:0.9999974370002747
Epoch:2	Step:1000	Train loss:0.002909380476921797	Train_acc:0.9999880194664001	Train_roc_auc:0.9999975562095642
Epoch:2	Step:1100	Train loss:0.0028776025865226984	Train_acc:0.9999887943267822	Train_roc_auc:0.999997615814209

Epoch:2	Test loss:0.0861964151263237	Test_acc:0.9799017906188965	Test_roc_auc:0.9959326982498169

Epoch:3	Step:100	Train loss:0.002704939339309931	Train_acc:0.9999768137931824	Train_roc_auc:0.9999989867210388
Epoch:3	Step:200	Train loss:0.002340457635000348	Train_acc:0.9999861121177673	Train_roc_auc:0.9999995827674866
Epoch:3	Step:300	Train loss:0.002151023829355836	Train_acc:0.999989926815033	Train_roc_auc:0.9999995231628418
Epoch:3	Step:400	Train loss:0.002057119272649288	Train_acc:0.9999918341636658	Train_roc_auc:0.9999995827674866
Epoch:3	Step:500	Train loss:0.0020010366570204496	Train_acc:0.9999932646751404	Train_roc_auc:0.9999994039535522
Epoch:3	Step:600	Train loss:0.0019594470504671335	Train_acc:0.9999939799308777	Train_roc_auc:0.9999994039535522
Epoch:3	Step:700	Train loss:0.0019200476817786694	Train_acc:0.9999947547912598	Train_roc_auc:0.9999994039535522
Epoch:3	Step:800	Train loss:0.0018976673018187284	Train_acc:0.9999951124191284	Train_roc_auc:0.9999992847442627
Epoch:3	Step:900	Train loss:0.0018731225281953812	Train_acc:0.9999955892562866	Train_roc_auc:0.9999992847442627
Epoch:3	Step:1000	Train loss:0.0018544798949733377	Train_acc:0.9999958276748657	Train_roc_auc:0.9999994039535522
Epoch:3	Step:1100	Train loss:0.001874842680990696	Train_acc:0.9999958872795105	Train_roc_auc:0.9999991655349731

Epoch:3	Test loss:0.05135349556803703	Test_acc:0.9882051348686218	Test_roc_auc:0.9976635575294495

Epoch:4	Step:100	Train loss:0.0017278087325394154	Train_acc:0.9999954104423523	Train_roc_auc:0.9999985098838806
Epoch:4	Step:200	Train loss:0.0016418549930676818	Train_acc:0.9999961853027344	Train_roc_auc:0.9999977350234985
Epoch:4	Step:300	Train loss:0.0015984487254172564	Train_acc:0.9999974370002747	Train_roc_auc:0.9999985098838806
Epoch:4	Step:400	Train loss:0.0016014572465792298	Train_acc:0.9999971985816956	Train_roc_auc:0.9999980926513672
Epoch:4	Step:500	Train loss:0.0015858428087085485	Train_acc:0.9999977350234985	Train_roc_auc:0.9999985098838806
Epoch:4	Step:600	Train loss:0.0015737343346700072	Train_acc:0.9999980926513672	Train_roc_auc:0.9999986886978149
Epoch:4	Step:700	Train loss:0.0015789259923622012	Train_acc:0.9999979138374329	Train_roc_auc:0.9999986290931702
Epoch:4	Step:800	Train loss:0.0015925875632092357	Train_acc:0.9999977350234985	Train_roc_auc:0.9999986290931702
Epoch:4	Step:900	Train loss:0.0015974411508068442	Train_acc:0.9999977350234985	Train_roc_auc:0.9999987483024597
Epoch:4	Step:1000	Train loss:0.001593915862031281	Train_acc:0.9999979138374329	Train_roc_auc:0.9999988079071045
Epoch:4	Step:1100	Train loss:0.0018990867538377643	Train_acc:0.9999979734420776	Train_roc_auc:0.999998927116394

